tweet_id,favorites,retweets,user_followers,user_favourites,date_time
838831947270979586,0,12265,6555966,132912,2017-03-06 19:21:35
838561493054533637,11697,1471,6555966,132912,2017-03-06 01:26:54
838476387338051585,24243,5330,6555966,132912,2017-03-05 19:48:43
838201503651401729,0,11208,6555966,132912,2017-03-05 01:36:26
838150277551247360,1794,359,6555966,132912,2017-03-04 22:12:52
838085839343206401,148,0,6555966,132912,2017-03-04 17:56:49
838083903487373313,18894,3482,6555966,132912,2017-03-04 17:49:08
837820167694528512,36691,8710,6555966,132912,2017-03-04 00:21:08
837482249356513284,4135,490,6555966,132912,2017-03-03 01:58:22
837471256429613056,13758,2561,6555966,132912,2017-03-03 01:14:41
837366284874571778,22671,5859,6555966,132912,2017-03-02 18:17:34
837110210464448512,17180,2661,6555966,132912,2017-03-02 01:20:01
836989968035819520,13656,2548,6555967,132912,2017-03-01 17:22:13
836753516572119041,20656,5108,6555967,132912,2017-03-01 01:42:39
836677758902222849,13536,2458,6555967,132912,2017-02-28 20:41:37
836648853927522308,0,612,6555967,132912,2017-02-28 18:46:45
836397794269200385,0,30560,6555967,132912,2017-02-28 02:09:08
836380477523124226,15805,3259,6555967,132912,2017-02-28 01:00:19
836260088725786625,22808,4747,6555969,132912,2017-02-27 17:01:56
836001077879255040,20534,4792,6555971,132912,2017-02-26 23:52:43
835685285446955009,0,9086,6555971,132912,2017-02-26 02:57:52
835574547218894849,19140,4021,6555971,132912,2017-02-25 19:37:50
835536468978302976,0,1888,6555971,132912,2017-02-25 17:06:32
835309094223372289,0,23372,6555971,132912,2017-02-25 02:03:02
835297930240217089,17599,3313,6555971,132912,2017-02-25 01:18:40
835264098648616962,8342,1888,6555972,132912,2017-02-24 23:04:14
835246439529840640,2238,81,6555972,132912,2017-02-24 21:54:03
835172783151792128,28073,6377,6555972,132912,2017-02-24 17:01:22
835152434251116546,24136,3366,6555972,132912,2017-02-24 15:40:31
834931633769889797,11643,1834,6555972,132912,2017-02-24 01:03:08
834786237630337024,22661,6052,6555972,132912,2017-02-23 15:25:23
834574053763584002,14749,2813,6555972,132912,2017-02-23 01:22:14
834477809192075265,0,11852,6555972,132912,2017-02-22 18:59:48
834458053273591808,10322,1860,6555972,132912,2017-02-22 17:41:18
834209720923721728,22163,5323,6555973,132912,2017-02-22 01:14:30
834167344700198914,16941,4032,6555973,132912,2017-02-21 22:26:07
834089966724603904,10781,2363,6555973,132912,2017-02-21 17:18:39
834086379323871233,14047,2460,6555973,132912,2017-02-21 17:04:24
833863086058651648,14422,2671,6555973,132912,2017-02-21 02:17:06
833826103416520705,16496,3825,6555973,132912,2017-02-20 23:50:09
833732339549220864,0,242,6555973,132912,2017-02-20 17:37:34
833722901757046785,22234,3560,6555974,132912,2017-02-20 17:00:04
833479644947025920,15993,2295,6555974,132912,2017-02-20 00:53:27
833124694597443584,21767,5396,6555974,132912,2017-02-19 01:23:00
832998151111966721,14326,2465,6555974,132912,2017-02-18 17:00:10
832769181346996225,0,42,6556076,132912,2017-02-18 01:50:19
832757312314028032,18131,4024,6556076,132912,2017-02-18 01:03:09
832682457690300417,12804,3276,6556076,132912,2017-02-17 20:05:43
832645525019123713,3142,579,6556077,132912,2017-02-17 17:38:57
832636094638288896,17095,3125,6556077,132912,2017-02-17 17:01:29
832397543355072512,12885,2483,6556077,132912,2017-02-17 01:13:34
832369877331693569,18496,3557,6556077,132912,2017-02-16 23:23:38
832273440279240704,12173,2605,6556077,132912,2017-02-16 17:00:25
832215909146226688,0,6894,6556078,132912,2017-02-16 13:11:49
832215726631055365,0,10440,6556078,132912,2017-02-16 13:11:05
832088576586297345,72,2,6556078,132912,2017-02-16 04:45:50
832040443403784192,0,10837,6556079,132912,2017-02-16 01:34:34
832032802820481025,19262,5199,6556079,132912,2017-02-16 01:04:13
831939777352105988,25896,6856,6556079,132912,2017-02-15 18:54:34
831926988323639298,365,36,6556079,132912,2017-02-15 18:03:45
831911600680497154,29836,7281,6556079,132912,2017-02-15 17:02:36
831670449226514432,11275,2022,6556080,132912,2017-02-15 01:04:21
831650051525054464,7746,2182,6556080,132912,2017-02-14 23:43:18
831552930092285952,9719,2560,6556080,132912,2017-02-14 17:17:22
831322785565769729,9892,1707,6556080,132912,2017-02-14 02:02:51
831315979191906304,7006,1240,6556080,132912,2017-02-14 01:35:49
831309418084069378,12621,2716,6556080,132912,2017-02-14 01:09:44
831262627380748289,12841,2294,6556080,132912,2017-02-13 22:03:49
830956169170665475,8599,1683,6556080,132912,2017-02-13 01:46:03
830583320585068544,72232,18813,6556081,132912,2017-02-12 01:04:29
830173239259324417,0,6377,6556081,132912,2017-02-10 21:54:58
830097400375152640,10618,3366,6556081,132912,2017-02-10 16:53:37
829878982036299777,0,5608,6556082,132912,2017-02-10 02:25:42
829861396166877184,13228,2194,6556082,132912,2017-02-10 01:15:49
829501995190984704,34270,11852,6556081,132912,2017-02-09 01:27:41
829449946868879360,11322,2274,6556081,132912,2017-02-08 22:00:52
829374341691346946,37446,10427,6556081,132912,2017-02-08 17:00:26
829141528400556032,26506,8297,6556082,132912,2017-02-08 01:35:19
829011960981237760,57279,18133,6556082,132912,2017-02-07 17:00:28
828801551087042563,0,3801,6556082,132912,2017-02-07 03:04:22
828770345708580865,27642,6577,6556082,132912,2017-02-07 01:00:22
828708714936930305,39580,12546,6556083,132912,2017-02-06 20:55:28
828650029636317184,10287,1504,6556083,132912,2017-02-06 17:02:17
828409743546925057,6791,1284,6556083,132912,2017-02-06 01:07:28
828408677031882754,8263,1433,6556083,132912,2017-02-06 01:03:14
828381636999917570,13661,2487,6556084,132912,2017-02-05 23:15:47
